customer_id,product_type,pd,lgd,ead,expected_loss,el_mild,el_severe,el_class,risk_tier,loan_status
1,Personal Loan,0.044,0.45,15000,297.0,430.65,623.7,Moderate EL ($100-$500),Low Risk,Active
2,Credit Card,0.149,0.75,8000,893.9999999999999,1296.2999999999997,1877.3999999999999,High EL (>$500),Moderate Risk,Active
3,Personal Loan,0.016,0.45,25000,180.00000000000003,261.00000000000006,378.00000000000006,Moderate EL ($100-$500),Low Risk,Active
4,Auto Loan,0.298,0.35,12000,1251.6,1814.8199999999997,2628.36,High EL (>$500),High Risk,Defaulted
5,Personal Loan,0.035,0.45,20000,315.00000000000006,456.75000000000006,661.5000000000001,Moderate EL ($100-$500),Low Risk,Active
6,Auto Loan,0.068,0.35,18000,428.40000000000003,621.1800000000001,899.6400000000001,Moderate EL ($100-$500),Moderate Risk,Active
7,Credit Card,0.231,0.75,5000,866.2500000000001,1256.0625000000002,1819.1250000000002,High EL (>$500),High Risk,Charged-Off
8,Personal Loan,0.008,0.45,30000,108.00000000000001,156.60000000000002,226.80000000000004,Moderate EL ($100-$500),Low Risk,Active
9,Auto Loan,0.08,0.35,14000,391.99999999999994,568.3999999999999,823.1999999999999,Moderate EL ($100-$500),Moderate Risk,Active
10,Personal Loan,0.365,0.45,6000,985.5,1428.975,2069.55,High EL (>$500),High Risk,
11,Personal Loan,0.06,0.45,12000,324.0,469.8,680.4,Moderate EL ($100-$500),Moderate Risk,Active
12,Auto Loan,0.031,0.35,22000,238.69999999999996,346.11499999999995,501.2699999999999,Moderate EL ($100-$500),Low Risk,Active
13,Credit Card,0.277,0.75,4000,831.0000000000001,1204.95,1745.1000000000004,High EL (>$500),High Risk,Active
14,Personal Loan,0.04,0.45,18000,324.00000000000006,469.80000000000007,680.4000000000002,Moderate EL ($100-$500),Low Risk,Active
15,Auto Loan,0.075,0.35,16000,420.0,609.0,882.0,Moderate EL ($100-$500),Moderate Risk,Active
16,Personal Loan,0.049,0.45,14000,308.7,447.61499999999995,648.27,Moderate EL ($100-$500),Low Risk,Active
17,Credit Card,0.4,0.75,3000,900.0000000000001,1305.0000000000002,1890.0000000000002,High EL (>$500),High Risk,
18,Auto Loan,0.037,0.35,20000,258.99999999999994,375.5499999999999,543.8999999999999,Moderate EL ($100-$500),Low Risk,Active
19,Personal Loan,0.071,0.45,11000,351.45,509.60249999999996,738.045,Moderate EL ($100-$500),Moderate Risk,Active
20,Credit Card,0.131,0.75,6000,589.5,854.775,1237.95,High EL (>$500),Moderate Risk,Active
21,Personal Loan,0.006,0.45,35000,94.5,137.025,198.45000000000002,Low EL (<$100),Low Risk,Active
22,Auto Loan,0.123,0.35,10000,430.5,624.225,904.0500000000001,Moderate EL ($100-$500),Moderate Risk,Active
23,Personal Loan,0.053,0.45,16000,381.6,553.32,801.3600000000001,Moderate EL ($100-$500),Low Risk,Active
24,Auto Loan,0.029,0.35,24000,243.6,353.21999999999997,511.56,Moderate EL ($100-$500),Low Risk,Active
25,Credit Card,0.255,0.75,3500,669.375,970.59375,1405.6875,High EL (>$500),High Risk,Defaulted
